Overlap Intersections,Values
"Point1, Point3, Point2, Point4, Point5, Point6",187
Point1,114388
"Point1,Point3",977
Point3,252207
Point2,252121
"Point2,Point1",3505
"Point2,Point1,Point3",91
"Point2,Point3",4683
"Point2,Point4",14011
"Point2,Point4,Point1",307
"Point2,Point4,Point1,Point3",26
"Point2,Point4,Point3",343
Point4,18165
"Point4,Point1",234
"Point4,Point1,Point3",2
"Point4,Point3",351
Point5,1171392
"Point5,Point1",9480
"Point5,Point1,Point3",1446
"Point5,Point3",164101
"Point5,Point2",36230
"Point5,Point2,Point1",863
"Point5,Point2,Point1,Point3",211
"Point5,Point2,Point3",6389
"Point5,Point2,Point4",3083
"Point5,Point2,Point4,Point1",112
"Point5,Point2,Point4,Point1,Point3",24
"Point5,Point2,Point4,Point3",556
"Point5,Point4",3536
"Point5,Point4,Point1",47
"Point5,Point4,Point1,Point3",10
"Point5,Point4,Point3",552
"Point5,Point6",121303
"Point5,Point6,Point1",2356
"Point5,Point6,Point1,Point3",682
"Point5,Point6,Point3",29150
"Point5,Point6,Point2",16040
"Point5,Point6,Point2,Point1",595
"Point5,Point6,Point2,Point1,Point3",335
"Point5,Point6,Point2,Point3",4190
"Point5,Point6,Point2,Point4",4419
"Point5,Point6,Point2,Point4,Point1",223
"Point5,Point6,Point2,Point4,Point3",1113
"Point5,Point6,Point4",3105
"Point5,Point6,Point4,Point1",39
"Point5,Point6,Point4,Point1,Point3",30
"Point5,Point6,Point4,Point3",526
Point6,338919
"Point6,Point1",4821
"Point6,Point1,Point3",136
"Point6,Point3",12616
"Point6,Point2",35513
"Point6,Point2,Point1",1105
"Point6,Point2,Point1,Point3",81
"Point6,Point2,Point3",1499
"Point6,Point2,Point4",9633
"Point6,Point2,Point4,Point1",370
"Point6,Point2,Point4,Point1,Point3",45
"Point6,Point2,Point4,Point3",406
"Point6,Point4",5871
"Point6,Point4,Point1",91
"Point6,Point4,Point1,Point3",12
"Point6,Point4,Point3",211
